№,Секунда,Микросекунда
1,9,131750
2,9,141999
3,9,152385
4,9,162868
5,9,172991
6,9,183229
7,9,193524
8,9,203793
9,9,214082
10,9,224668
11,9,234797
12,9,245141
13,9,255198
14,9,265256
15,9,275743
16,9,286166
17,9,296442
18,9,306752
19,9,317171
20,9,327497
21,9,338081
22,9,348312
23,9,358542
24,9,369202
25,9,379749
26,9,390086
27,9,400283
28,9,410407
29,9,420862
30,9,431170
31,9,441577
32,9,451807
33,9,461958
34,9,472419
35,9,482567
36,9,493100
37,9,503634
38,9,513862
39,9,524396
40,9,534523
41,9,544938
42,9,555037
43,9,565146
44,9,575540
45,9,585624
46,9,595718
47,9,605760
48,9,615807
49,9,626244
50,9,636343
51,9,646416
52,9,656919
53,9,667138
54,9,677715
55,9,688103
56,9,698527
57,9,709104
58,9,719584
59,9,730303
60,9,740727
61,9,751080
62,9,761195
63,9,771576
64,9,782056
65,9,792415
66,9,802756
67,9,813505
68,9,824137
69,9,834742
70,9,845306
71,9,855591
72,9,866574
73,9,876967
74,9,887123
75,9,897419
76,9,908189
77,9,918290
78,9,928466
79,9,938679
80,9,949059
81,9,959418
82,9,969808
83,9,980265
84,9,990870
85,10,1140
86,10,11718
87,10,21820
88,10,32033
89,10,42228
90,10,52300
91,10,62640
92,10,72797
93,10,82894
94,10,93090
95,10,103649
96,10,114136
97,10,124509
98,10,134883
99,10,145436
100,10,155508
101,10,165597
102,10,175847
103,10,185934
104,10,196430
105,10,206694
106,10,217296
107,10,227665
108,10,237774
109,10,248373
110,10,258452
111,10,268828
112,10,279085
113,10,289627
114,10,300472
115,10,310860
116,10,320963
117,10,331174
118,10,341306
119,10,351377
120,10,361715
121,10,371818
122,10,382323
123,10,392498
124,10,402663
125,10,413176
126,10,423611
127,10,433791
128,10,444042
129,10,454507
130,10,465101
131,10,475618
132,10,486147
133,10,496387
134,10,506676
135,10,516843
136,10,527318
137,10,537867
138,10,548192
139,10,558291
140,10,568801
141,10,579318
142,10,589614
143,10,599711
144,10,610061
145,10,620411
146,10,630903
147,10,641056
148,10,651465
149,10,661737
150,10,672153
151,10,682380
152,10,692931
153,10,703116
154,10,713659
155,10,723763
156,10,733857
157,10,744151
158,10,754329
159,10,764438
160,10,774719
161,10,784931
162,10,795309
163,10,805833
164,10,816343
165,10,826419
166,10,836647
167,10,847083
168,10,857157
169,10,867320
170,10,877907
171,10,888139
172,10,898248
173,10,908325
174,10,918387
175,10,928639
176,10,938961
177,10,949473
178,10,960213
179,10,970758
180,10,981363
181,10,991791
182,11,1910
183,11,12350
184,11,22676
185,11,33059
186,11,43261
187,11,53425
188,11,63709
189,11,74279
190,11,84462
191,11,94656
192,11,104768
193,11,115154
194,11,125239
195,11,135509
196,11,145937
197,11,156430
198,11,166801
199,11,177573
200,11,187852
201,11,198161
202,11,208519
203,11,218881
204,11,229183
205,11,239542
206,11,249927
207,11,260117
208,11,270693
209,11,280908
210,11,291453
211,11,301536
212,11,312094
213,11,322360
214,11,332459
215,11,342973
216,11,353680
217,11,364187
218,11,374571
219,11,384702
220,11,395112
221,11,405346
222,11,415474
223,11,425631
224,11,436182
225,11,446586
226,11,457052
227,11,467501
228,11,477932
229,11,488058
230,11,498495
231,11,508787
232,11,518965
233,11,529656
234,11,540209
235,11,550652
236,11,561114
237,11,571336
238,11,581450
239,11,591546
240,11,602153
241,11,612444
242,11,623038
243,11,633136
244,11,643457
245,11,654031
246,11,664671
247,11,675245
248,11,685395
249,11,695707
250,11,706216
251,11,716731
252,11,727225
253,11,737335
254,11,747666
255,11,757891
256,11,768343
257,11,778889
258,11,789345
259,11,799748
260,11,810303
261,11,820802
262,11,831156
263,11,841620
264,11,851966
265,11,862150
266,11,872674
267,11,883396
268,11,893706
269,11,904175
270,11,914717
271,11,925013
272,11,935125
273,11,945251
274,11,955327
275,11,965380
276,11,975793
277,11,985858
278,11,995951
279,12,6132
280,12,16242
281,12,26443
282,12,36535
283,12,46768
284,12,57294
285,12,67696
286,12,77940
287,12,88451
288,12,98618
289,12,108689
290,12,118790
291,12,129147
292,12,139428
293,12,149506
294,12,159581
295,12,169680
296,12,179784
297,12,190269
298,12,200374
299,12,210923
300,12,221277
